model,strategy,fold,n_train,n_test,accuracy,precision_macro,recall_macro,f1_macro,auc_roc
LogisticRegression,LOSO,0,14632,472,0.673728813559322,0.690487439955902,0.673728813559322,0.6663912907785794,0.7291546969261705
LogisticRegression,LOSO,1,14632,472,0.6673728813559322,0.6054402914159012,0.6227896253602305,0.6085263741778706,0.6911354466858789
LogisticRegression,LOSO,2,14632,472,0.7097457627118644,0.7603379002270969,0.6886574074074074,0.6794988079837827,0.7154224537037037
LogisticRegression,LOSO,3,14632,472,0.6228813559322034,0.5804122038299253,0.5784764016471333,0.5792467948717949,0.6690885334178017
LogisticRegression,LOSO,4,14632,472,0.6567796610169492,0.677134047387212,0.6567796610169492,0.6466282165039929,0.693963659867854
LogisticRegression,LOSO,5,14632,472,0.711864406779661,0.6306510215021741,0.6866967401480977,0.6355377906976745,0.740630408261696
LogisticRegression,LOSO,6,14632,472,0.5677966101694916,0.5343226857297982,0.5801733248784612,0.4732142857142857,0.644430352990911
LogisticRegression,LOSO,7,14632,472,0.6038135593220338,0.6228983782175272,0.603813559322034,0.587811427370584,0.6675703820741166
LogisticRegression,LOSO,8,14632,472,0.7033898305084746,0.6551444336254463,0.6619241192411924,0.6579710144927536,0.7393504403794038
LogisticRegression,LOSO,9,14632,472,0.5677966101694916,0.5948267202410848,0.5677966101694916,0.5346337502658186,0.5711361677678828
LogisticRegression,LOSO,10,14632,472,0.6440677966101694,0.6413544226044225,0.6333768021444613,0.6329908358789225,0.7106426139245091
LogisticRegression,LOSO,11,14632,472,0.684322033898305,0.6749837715027589,0.6596963806350088,0.6621169100089842,0.7249097472924189
LogisticRegression,LOSO,12,14632,472,0.5826271186440678,0.59247091446139,0.5826271186440678,0.5712157893523322,0.5669527434645216
LogisticRegression,LOSO,13,14632,472,0.5211864406779662,0.5000385713183677,0.5000368650003686,0.4986841115873374,0.5130133451301334
LogisticRegression,LOSO,14,14632,472,0.6440677966101694,0.6605926394600865,0.6369145014834128,0.6273404015339499,0.7278971500494471
LogisticRegression,LOSO,15,14632,472,0.6483050847457628,0.6977401129943503,0.6483050847457628,0.6248587570621469,0.7079503016374604
LogisticRegression,LOSO,16,14632,472,0.6864406779661016,0.660702142954285,0.660702142954285,0.660702142954285,0.720813662062132
LogisticRegression,LOSO,17,14632,472,0.5614406779661016,0.5658393458393458,0.5614406779661018,0.5539913175661796,0.596057167480609
LogisticRegression,LOSO,18,14632,472,0.527542372881356,0.5334241202745398,0.527542372881356,0.5058009324687885,0.5212582591209423
LogisticRegression,LOSO,19,14632,472,0.5720338983050848,0.5849424119241193,0.5720338983050848,0.5551325121313924,0.6142451881643206
LogisticRegression,LOSO,20,14632,472,0.5296610169491526,0.5332983955494639,0.5296610169491526,0.5164559298569451,0.5536842861246768
LogisticRegression,LOSO,21,14632,472,0.6885593220338984,0.697512585134735,0.6802702702702703,0.6781206073511197,0.7647747747747747
LogisticRegression,LOSO,22,14632,472,0.5995762711864406,0.6213238541022698,0.5986623574827183,0.5795546129374337,0.7017865158452286
LogisticRegression,LOSO,23,14632,472,0.6927966101694916,0.6959163639933248,0.6807396942693618,0.6809368633538926,0.7272513221763385
LogisticRegression,LOSO,24,14632,472,0.6483050847457628,0.6671099382882789,0.6444648021411506,0.6344158268010451,0.6661098237861725
LogisticRegression,LOSO,25,14632,472,0.5741525423728814,0.5798422487289037,0.5741525423728814,0.5664282613166374,0.6030953748922723
LogisticRegression,LOSO,26,14632,472,0.6080508474576272,0.5640625,0.5819863356107315,0.556442805402742,0.6359178232199396
LogisticRegression,LOSO,27,14632,472,0.5529661016949152,0.5642771543741149,0.5529661016949152,0.53239460426419,0.5635234128124103
LogisticRegression,LOSO,28,14632,472,0.6927966101694916,0.6986256994208304,0.6827096727587951,0.6819924261784727,0.7425052373040526
LogisticRegression,LOSO,29,14632,472,0.7542372881355932,0.6778062313273581,0.7066468253968254,0.6875955722925939,0.7805555555555556
LogisticRegression,LOSO,30,14632,472,0.711864406779661,0.7034610852589323,0.6891934555314131,0.6926553672316385,0.771092168551637
LogisticRegression,LOSO,31,14632,472,0.6949152542372882,0.7149192271143491,0.6949152542372881,0.6876470588235295,0.7869864981327205
RandomForest,LOSO,0,14632,472,0.6800847457627118,0.7041314745090058,0.6800847457627118,0.6703773419108976,0.7600994685435221
RandomForest,LOSO,1,14632,472,0.7309322033898306,0.6743329350856233,0.7018443804034582,0.6820941986327886,0.7476080691642651
RandomForest,LOSO,2,14632,472,0.7033898305084746,0.7476722532588455,0.6827980324074074,0.6738722732208074,0.7549822771990741
RandomForest,LOSO,3,14632,472,0.711864406779661,0.6798470459702497,0.6694646816598036,0.6733896407855907,0.7125435540069687
RandomForest,LOSO,4,14632,472,0.625,0.6806669261710134,0.625,0.5937030390569149,0.6307185435219764
RandomForest,LOSO,5,14632,472,0.7648305084745762,0.6596111918604651,0.6993928561295997,0.6721052928033646,0.7441626237693988
RandomForest,LOSO,6,14632,472,0.6610169491525424,0.558029175698635,0.6256182625237794,0.5345970863016738,0.6800887761572607
RandomForest,LOSO,7,14632,472,0.6122881355932204,0.6427365057628666,0.6122881355932204,0.5904467930754898,0.6815749784544671
RandomForest,LOSO,8,14632,472,0.7648305084745762,0.7222654308985245,0.7178184281842819,0.719923234418351,0.8046874999999999
RandomForest,LOSO,9,14632,472,0.5635593220338984,0.5781594983661573,0.5635593220338984,0.5421791129108202,0.5947195489801781
RandomForest,LOSO,10,14632,472,0.6567796610169492,0.654666360926393,0.6465985655292328,0.6466282165039929,0.7426827501267841
RandomForest,LOSO,11,14632,472,0.7245762711864406,0.731817062523785,0.6917152642784412,0.6954355034050073,0.804156252892715
RandomForest,LOSO,12,14632,472,0.5805084745762712,0.5864768957802977,0.5805084745762712,0.5731433269388874,0.5678235420856077
RandomForest,LOSO,13,14632,472,0.6059322033898306,0.5877934272300469,0.5758313057583131,0.5724970783015193,0.6174795399247954
RandomForest,LOSO,14,14632,472,0.6588983050847458,0.6824394688883103,0.651200215769127,0.6404192395959023,0.7619617009799514
RandomForest,LOSO,15,14632,472,0.5338983050847458,0.7310327949094468,0.5338983050847458,0.40750884400319526,0.6788638322321171
RandomForest,LOSO,16,14632,472,0.6758474576271186,0.6452302631578948,0.6372423306327835,0.6399694889397407,0.7172679761419052
RandomForest,LOSO,17,14632,472,0.5720338983050848,0.5803685897435897,0.5720338983050848,0.5606429256064293,0.5514489370870439
RandomForest,LOSO,18,14632,472,0.5338983050847458,0.5446969696969697,0.5338983050847458,0.5039364060230834,0.5796556305659294
RandomForest,LOSO,19,14632,472,0.6377118644067796,0.6733450855425227,0.6377118644067796,0.6180850308751509,0.6643026429187016
RandomForest,LOSO,20,14632,472,0.5805084745762712,0.6008547008547009,0.5805084745762712,0.5582279199047024,0.563002729100833
RandomForest,LOSO,21,14632,472,0.663135593220339,0.6804332454843479,0.6517297297297298,0.6441586890655895,0.7642612612612611
RandomForest,LOSO,22,14632,472,0.6377118644067796,0.6667542016806722,0.6368165903582009,0.6203271192898774,0.6932938324804739
RandomForest,LOSO,23,14632,472,0.7139830508474576,0.7198598361464811,0.7017133956386292,0.7024307095990847,0.7829547924364268
RandomForest,LOSO,24,14632,472,0.7309322033898306,0.7807932263814616,0.7263656122577284,0.7157745503857224,0.7592103608701118
RandomForest,LOSO,25,14632,472,0.5677966101694916,0.5735488897545773,0.5677966101694916,0.5591773948394895,0.5530828066647515
RandomForest,LOSO,26,14632,472,0.625,0.5873516183735162,0.6128145309115147,0.5796718639155962,0.659592448877568
RandomForest,LOSO,27,14632,472,0.559322033898305,0.575786769428388,0.5593220338983051,0.5340130242448407,0.5709655989658144
RandomForest,LOSO,28,14632,472,0.7203389830508474,0.7525846702317291,0.704724409448819,0.7003174603174603,0.77134652893159
RandomForest,LOSO,29,14632,472,0.7139830508474576,0.6307628541671095,0.6525793650793651,0.637326047980876,0.7683531746031746
RandomForest,LOSO,30,14632,472,0.7203389830508474,0.7154793587918549,0.6939662376734079,0.6981395348837209,0.7849090942856611
RandomForest,LOSO,31,14632,472,0.652542372881356,0.6663533834586466,0.652542372881356,0.6451778511184452,0.7555928612467683
XGBoost,LOSO,0,14632,472,0.6652542372881356,0.6736865942028986,0.6652542372881356,0.661141403126136,0.7216496696351622
XGBoost,LOSO,1,14632,472,0.6504237288135594,0.62962761718467,0.6650028818443804,0.6202735317779566,0.7040230547550431
XGBoost,LOSO,2,14632,472,0.6546610169491526,0.6570569790896926,0.6422164351851851,0.6400806515749045,0.6886212384259258
XGBoost,LOSO,3,14632,472,0.6673728813559322,0.6291906500794289,0.6239705416534684,0.6259923789335554,0.6673859676908458
XGBoost,LOSO,4,14632,472,0.6059322033898306,0.6563328033916269,0.6059322033898304,0.5713867244712637,0.6037776501005458
XGBoost,LOSO,5,14632,472,0.7097457627118644,0.6251602564102564,0.677263313189775,0.6301173186594442,0.725451811501688
XGBoost,LOSO,6,14632,472,0.5572033898305084,0.5507902298850575,0.6195518917776368,0.47886631976544547,0.6653984358486578
XGBoost,LOSO,7,14632,472,0.6059322033898306,0.6174830744723219,0.6059322033898304,0.5960019879617869,0.6864406779661018
XGBoost,LOSO,8,14632,472,0.7669491525423728,0.7247678555931615,0.7193428184281843,0.7218829680101133,0.7794715447154471
XGBoost,LOSO,9,14632,472,0.5741525423728814,0.6057483036743054,0.5741525423728813,0.5397757867111665,0.5810650675093364
XGBoost,LOSO,10,14632,472,0.652542372881356,0.6489204377403135,0.6459103093530392,0.6464419475655431,0.6799608780699848
XGBoost,LOSO,11,14632,472,0.7076271186440678,0.6992637675468735,0.687901508840137,0.6908355641624423,0.763898916967509
XGBoost,LOSO,12,14632,472,0.559322033898305,0.5598420633195682,0.5593220338983051,0.5583625730994153,0.5827707555300201
XGBoost,LOSO,13,14632,472,0.5699152542372882,0.557143387746764,0.5567168030671681,0.556864903363657,0.5712231807122317
XGBoost,LOSO,14,14632,472,0.663135593220339,0.6904751390974123,0.6551200215769127,0.6434147569881642,0.7142497527645421
XGBoost,LOSO,15,14632,472,0.5,0.5,0.5,0.35127076199128754,0.5286555587474864
XGBoost,LOSO,16,14632,472,0.6652542372881356,0.6389417989417989,0.6403023061529793,0.6395692771666635,0.7026092362689671
XGBoost,LOSO,17,14632,472,0.5360169491525424,0.5387805208111818,0.5360169491525424,0.5276009414345452,0.5803109738580868
XGBoost,LOSO,18,14632,472,0.548728813559322,0.5581517430524308,0.548728813559322,0.5296759434690469,0.5479388106865843
XGBoost,LOSO,19,14632,472,0.6016949152542372,0.6181181181181181,0.6016949152542372,0.5873511904761904,0.6557023843723068
XGBoost,LOSO,20,14632,472,0.5995762711864406,0.6178821178821179,0.5995762711864406,0.5834029934387186,0.5581370295891985
XGBoost,LOSO,21,14632,472,0.6716101694915254,0.6893213169808914,0.6604864864864864,0.653819764828353,0.749945945945946
XGBoost,LOSO,22,14632,472,0.6440677966101694,0.6545131169408627,0.643504802944609,0.6374012291483757,0.716850704731125
XGBoost,LOSO,23,14632,472,0.6652542372881356,0.6626814046168885,0.6567412881257697,0.6572794117647058,0.7297870028254726
XGBoost,LOSO,24,14632,472,0.6800847457627118,0.7122928056929618,0.6757647608270014,0.6640886061034523,0.734421871351332
