ablation,level,variant,n_features,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std
modality,window,eye,90,0.6535354872881356,0.060244102234010284,0.6232628143692177,0.06487653800636407,0.7078127186685131,0.07611382208142264
modality,block,eye,180,0.71875,0.0,0.7046153846153846,0.0,0.7738095238095238,0.0
modality,window,physio,53,0.5289327330508475,0.08738541523519185,0.4640023700423624,0.05971503886311211,0.49376443316491414,0.08941247637081634
modality,block,physio,106,0.375,0.0,0.3522267206477733,0.0,0.2896825396825397,0.0
modality,window,combined,143,0.6526085805084747,0.06652990287190455,0.6189280074642192,0.0707369114852281,0.6944810510774093,0.08105420299739144
modality,block,combined,288,0.71875,0.0,0.7046153846153846,0.0,0.7380952380952381,0.0
drop_channel,window,-pupil,107,0.6232786016949152,0.07684911819547026,0.5774903745512838,0.06745399807608946,0.6319709971864083,0.08648787723979226
drop_channel,window,-gaze,116,0.6527409957627119,0.06860768355085624,0.6173850829137181,0.07361176418665344,0.6821409179198217,0.08306001584201274
drop_channel,window,-head,116,0.6429422669491525,0.06646978684747003,0.6070076540097566,0.07401291670092082,0.6778939203804053,0.0824598952878476
drop_channel,window,-eda,132,0.6528072033898304,0.06614986887421283,0.6197175620757012,0.0701627647499239,0.6952028222564637,0.08075407014905986
drop_channel,window,-hr,134,0.656448622881356,0.06501275466870457,0.6233511532929139,0.07033353972502471,0.7041472503015239,0.07678445766420962
drop_channel,window,-skt,133,0.6537341101694916,0.06565219880507676,0.62023363542001,0.06850061098125294,0.6948393551989784,0.08041447831860282
drop_channel,window,-bvp,134,0.661083156779661,0.0681051893438306,0.6289419621547425,0.07048507970576022,0.7008057908596799,0.08025781488526713
drop_channel,window,-acc,134,0.6485699152542374,0.06306025375633657,0.615136614782797,0.0672688377641399,0.69405593852274,0.07839748371385948
drop_channel,window,-hrv,138,0.6547272245762712,0.0674720040679027,0.6208807294692149,0.07143340619039407,0.6942260720115463,0.08011654317760511
stats,window,mean,15,0.6429422669491526,0.06866414043456469,0.6101034187225468,0.07453727219839533,0.6797118081147377,0.08132565342841763
stats,window,mean_std,30,0.6457229872881356,0.06618587433965459,0.6115634496789897,0.07231696546780671,0.6812999180170459,0.08426032415008976
stats,window,all,143,0.6526085805084747,0.06652990287190455,0.6189280074642192,0.0707369114852281,0.6944810510774093,0.08105420299739144
