feature,mean_abs_shap
left_pupil_deriv_mean_std,1.3093996
gaze_pitch_min_mean,0.28845483
gaze_yaw_median_mean,0.2721303
bvp_min_std,0.25976077
hrv_pnn50_std,0.17907546
gaze_yaw_max_std,0.12559704
gaze_yaw_rms_std,0.115294054
bvp_skew_mean,0.10654128
left_pupil_max_std,0.07603742
bvp_mean_mean,0.074773915
left_pupil_std_std,0.07423375
hrv_rmssd_mean,0.072339065
left_pupil_median_mean,0.06491284
gaze_yaw_mean_mean,0.06350644
right_pupil_std_std,0.06316837
left_pupil_skew_std,0.06238493
gaze_yaw_max_mean,0.056471735
head_yaw_max_std,0.043190002
left_pupil_mean_mean,0.043116875
left_pupil_kurt_mean,0.03915623
