model,fold,participant,accuracy,precision_macro,recall_macro,f1_macro,auc_roc
LSTM,0,P1,0.735,0.7322709977272146,0.7299223943982406,0.7307936507936508,0.7835132333982153
LSTM,1,P10,0.4675,0.46796705794272575,0.47003801520608246,0.460045249729072,0.533563425370148
LSTM,2,P11,0.695,0.6950114232632874,0.6943089430894309,0.6943811217715875,0.7704815509693559
LSTM,3,P12,0.625,0.6186961247756515,0.6199085778492811,0.6190476190476191,0.7198089838862074
LSTM,4,P13,0.5275,0.5249974876896795,0.5250157133878064,0.5250032985882043,0.5411439346323067
LSTM,5,P14,0.4575,0.45219404186795487,0.45174603174603173,0.45173984171198656,0.407847619047619
LSTM,6,P15,0.595,0.5976247987117552,0.5972431077694236,0.5949088544922607,0.6827067669172933
LSTM,7,P16,0.5925,0.5950368348448828,0.5812424729024488,0.5712754555198285,0.5970744680851063
LSTM,8,P17,0.65,0.643859649122807,0.6539039039039038,0.6413842567688721,0.7176909051909053
LSTM,9,P18,0.53,0.5317013341343145,0.5319508564797295,0.5295766189570613,0.5399480309795908
LSTM,10,P19,0.485,0.5142350257666638,0.5129911850119504,0.4812520460325854,0.5186965125542905
LSTM,11,P2,0.51,0.49974937343358394,0.4996994831109508,0.48263118994826315,0.5167988940978483
LSTM,12,P20,0.6225,0.6208170033162497,0.6207351058220985,0.6207721430768941,0.6022695890135824
LSTM,13,P21,0.4925,0.5062934027777778,0.5058528217159868,0.4881202287068732,0.4911829259063044
LSTM,14,P22,0.69,0.691304347826087,0.6872996794871795,0.6871767703524307,0.7078826121794872
LSTM,15,P23,0.69,0.7240431850351087,0.7029541169076052,0.6854707792207793,0.7881835323695788
LSTM,16,P24,0.75,0.7502783682558963,0.7478696741854636,0.748389694041868,0.7806265664160401
LSTM,17,P25,0.6375,0.6409176618478944,0.6408149934679932,0.6374977343608397,0.6378755903929254
LSTM,18,P26,0.5775,0.586358679752121,0.5812481233109799,0.5725604011356236,0.6646231608447604
LSTM,19,P27,0.5775,0.5941477743466144,0.625,0.5565206552472922,0.6187666666666667
LSTM,20,P28,0.5775,0.5765092647937836,0.5737179487179487,0.5715851981418458,0.5868890224358974
LSTM,21,P29,0.695,0.7004860114326006,0.7008501728096067,0.6949923748093703,0.7783748328666212
LSTM,22,P3,0.515,0.514965867320147,0.5149628740718517,0.5149514951495149,0.5002375059376485
LSTM,23,P30,0.61,0.5661421227067512,0.579904788927772,0.5623386825272135,0.6724360793215423
LSTM,24,P31,0.7275,0.7244318181818181,0.7236659167319699,0.7240069631270771,0.8284334791071564
LSTM,25,P32,0.7475,0.7478035593602163,0.7475,0.7474226481860069,0.792125
LSTM,26,P4,0.53,0.5282438548673452,0.5298880685877589,0.5225396825396825,0.5756397025746871
LSTM,27,P5,0.615,0.6245755517826825,0.6174469787915167,0.6102844417451159,0.6011654661864746
LSTM,28,P6,0.6675,0.6293575411881541,0.6984375,0.6155819381318149,0.7653515624999999
LSTM,29,P7,0.6075,0.5794082125603864,0.6614239680834739,0.5338445208174052,0.7542836683545598
LSTM,30,P8,0.7175,0.728125,0.7190492860893701,0.7150619992309195,0.7896276662249007
LSTM,31,P9,0.65,0.6363293526084224,0.659152945320067,0.630450849963045,0.7370197528690089
BiLSTM,0,P1,0.755,0.7526549672365745,0.7543921737152102,0.7532169927727834,0.7811623145175561
BiLSTM,1,P10,0.4275,0.4241925389785312,0.43032212885154064,0.4172694365453493,0.4796293517406962
BiLSTM,2,P11,0.7025,0.7023309323729492,0.7023764853033145,0.7023493143403848,0.7669793621013132
BiLSTM,3,P12,0.775,0.7799394965446421,0.7575780791133584,0.7624326892619575,0.8303072090707118
