fold,participant,best_inner_f1,hp_epochs,accuracy,precision_macro,recall_macro,f1_macro,auc_roc,hp_hidden,hp_n_layers,hp_dropout,hp_lr,hp_batch
0,P1,0.6469655257115324,5,0.745,0.7447436185904648,0.7474658105614398,0.7442262845106447,0.7816173310751031,64,2,0.3524024301776768,0.00010160616259975638,128
1,P10,0.6470468390194999,5,0.5625,0.5686406816437777,0.564875950380152,0.5573850307617403,0.6116696678671468,64,1,0.2848459033604512,0.00010195064867590147,128
2,P11,0.6460346264791945,5,0.72,0.7203016970458831,0.7191994996873046,0.7192982456140351,0.8014258911819887,64,1,0.2809305251510434,0.00010466555426547514,128
3,P12,0.6594946939445289,6,0.6775,0.6715068038499834,0.6583544012870604,0.6598975738042039,0.7765264690109552,64,1,0.37511271644694233,0.00020655958307775506,128
4,P13,0.6387683793684841,7,0.4825,0.4789545317068253,0.4790069138906348,0.4789536281314698,0.5163042111879321,64,1,0.44223371391589306,0.0029285034127450454,128
5,P14,0.6441657514354664,7,0.4925,0.4956140350877193,0.4955555555555555,0.4917853231106243,0.46999365079365074,64,1,0.49616478092692684,0.0029596330270800887,128
6,P15,0.6583702952918898,5,0.7575,0.7701482914248872,0.762531328320802,0.756549019607843,0.8467669172932332,64,2,0.3524024301776768,0.00010160616259975638,128
7,P16,0.6660592066187614,5,0.7375,0.7491904982177355,0.729777197912485,0.729449429589214,0.760663388197511,64,2,0.3524024301776768,0.00010160616259975638,128
8,P17,0.6639852036550469,5,0.635,0.6265199477439454,0.635027885027885,0.6247847652334815,0.7037752037752038,64,2,0.3524024301776768,0.00010160616259975638,128
9,P18,0.6652675252939628,5,0.5325,0.5354777197912485,0.535671939251747,0.5323567842651813,0.6057670476046317,64,2,0.3524024301776768,0.00010160616259975638,128
10,P19,0.6556225359487327,5,0.5425,0.5698684068601014,0.56658785433425,0.5412355304307497,0.5825345018118271,64,1,0.2809305251510434,0.00010466555426547514,128
11,P2,0.650301899440199,5,0.715,0.6746666666666666,0.6968385623272029,0.6801705756929637,0.7188363986056016,64,1,0.2809305251510434,0.00010466555426547514,128
12,P20,0.616201282701838,7,0.6025,0.6031912765106042,0.603587657854435,0.6022986636984974,0.6553940398182321,64,1,0.3563825568951976,0.0010435882230584717,128
13,P21,0.6174426836236062,6,0.5175,0.5263361136855113,0.5258079164459244,0.5168205288687217,0.527435101793688,256,1,0.41642963969023994,0.001944768348095815,128
14,P22,0.6109363677059985,7,0.68,0.6883291985762054,0.6748798076923077,0.6721227490458259,0.7629707532051281,128,2,0.4413888415076934,0.0019311884591834162,128
15,P23,0.6232740463654922,10,0.635,0.669698790011156,0.6491514770584538,0.627702978376173,0.6926461345065997,64,2,0.2809305251510434,0.001318220983628871,128
16,P24,0.6148921407242111,5,0.7125,0.7122146667003716,0.7104010025062657,0.7107627688805891,0.8045363408521303,64,1,0.3370718550922105,0.000653055515858278,128
17,P25,0.6229669396294688,11,0.7125,0.7163419233186675,0.716184303085117,0.7124982031137694,0.7157320872274143,64,1,0.4774414473510267,0.0028617458367904223,128
18,P26,0.6142855365758944,5,0.525,0.5269764146168641,0.5266740066059454,0.524238782051282,0.5483685316785107,64,1,0.3370718550922105,0.000653055515858278,128
19,P27,0.6082255575906056,5,0.54,0.5475427885096587,0.5633333333333334,0.513111587414993,0.5720333333333334,64,1,0.3370718550922105,0.000653055515858278,128
20,P28,0.6107153949504467,11,0.6475,0.647954609493071,0.6446314102564102,0.6441168861489535,0.6615835336538461,64,2,0.4186684158878403,0.0029596330270800887,128
21,P29,0.6049886393594752,7,0.62,0.6388293509036543,0.6323570221246753,0.6181288312732389,0.7243875980726053,64,1,0.3763741956657895,0.00025467782537420656,128
22,P3,0.6343143144693394,5,0.7275,0.7407682512733447,0.726905672641816,0.7233484984041777,0.8193954848871222,64,1,0.2809305251510434,0.00010466555426547514,128
23,P30,0.6343618721739495,5,0.735,0.7029888720413251,0.749014786090356,0.7068259763248147,0.8153157413537627,64,1,0.2809305251510434,0.00010466555426547514,128
24,P31,0.6309816642955051,5,0.7375,0.7447449939152562,0.7236911954296115,0.725689205870251,0.8220379686038575,64,1,0.2809305251510434,0.00010466555426547514,128
25,P32,0.6097125280899688,7,0.6925,0.6925048126203155,0.6924999999999999,0.6924980781129881,0.8066000000000001,256,2,0.42914721797206434,0.002409563257961009,128
26,P4,0.6110776491938561,7,0.6125,0.5979702162382701,0.6016644174538912,0.5983805668016194,0.6720647773279352,256,1,0.4329250016856981,0.0011671007581186422,128
27,P5,0.6157994167429612,5,0.4975,0.4990266144112298,0.49904961984793916,0.4952000050228855,0.49939975990396157,256,2,0.3247232937018455,0.001428056884288279,128
28,P6,0.6211666868982417,5,0.73,0.6794791990870422,0.7703125,0.6800853105838442,0.8013671875,256,1,0.4413888415076934,0.0015724375120385865,128
29,P7,0.6329823925315186,5,0.6075,0.6146958783513405,0.7345660068538693,0.553593642263593,0.7626719860876682,256,1,0.4413888415076934,0.0015724375120385865,128
30,P8,0.6190784962644458,7,0.695,0.699047619047619,0.6959815958590683,0.6940745755911633,0.7687729739191318,128,2,0.4413888415076934,0.0019311884591834162,128
31,P9,0.6225977683946504,8,0.585,0.6042281591362042,0.6212614833729565,0.576087234096887,0.6798743799712365,128,2,0.11968935205247816,0.00025262481712543113,256
