fold,participant,best_inner_f1,accuracy,precision_macro,recall_macro,f1_macro,auc_roc,hp_n_estimators,hp_max_depth,hp_min_samples_leaf,hp_max_features
0,P1,0.6136065771808533,0.690677966101695,0.7154333008763388,0.690677966101695,0.6815291333924874,0.769750071818443,350,20.0,6,sqrt
1,P2,0.6398352282855717,0.7372881355932204,0.678576483672025,0.7036080691642652,0.6864862548477642,0.75492795389049,300,15.0,10,sqrt
2,P3,0.6381964175661804,0.6970338983050848,0.7507850006487609,0.6747685185185185,0.6624913117614997,0.7827690972222223,450,15.0,4,log2
3,P4,0.6317632212763103,0.7203389830508474,0.6897018970189702,0.6773835920177385,0.6819407008086253,0.7323408299018055,350,15.0,5,log2
4,P5,0.6343068760319136,0.6313559322033898,0.683726770467102,0.6313559322033898,0.6030699634620218,0.6642846883079575,300,15.0,4,log2
5,P6,0.6315308920586188,0.7563559322033898,0.6488917151162791,0.6860016455301161,0.6602892673188011,0.7383039691321248,450,20.0,6,sqrt
6,P7,0.6322725447249748,0.7076271186440678,0.5622745047205479,0.621855844430353,0.5557131943686566,0.6946522933840625,450,10.0,3,log2
7,P8,0.6200330038519741,0.6059322033898306,0.6291141456582633,0.6059322033898306,0.5874125874125874,0.6866561332950302,100,,4,sqrt
8,P9,0.6151921068277638,0.7563559322033898,0.7128440366972477,0.7136686991869918,0.7132518027417523,0.7993097899728997,100,,4,sqrt
9,P10,0.626723852490117,0.5783898305084746,0.5986733563857437,0.5783898305084746,0.5555492464570468,0.5907066934788854,150,15.0,8,sqrt
10,P11,0.6241336275487916,0.663135593220339,0.6615819209039548,0.6528109831196116,0.6529138898267066,0.7390965732087228,350,20.0,7,sqrt
11,P12,0.6175363262657232,0.7372881355932204,0.749112934210229,0.7040636860131444,0.7086419753086419,0.8102378968804962,500,,7,sqrt
12,P13,0.6293404770769991,0.586864406779661,0.5935294913681443,0.586864406779661,0.5793707012773347,0.5760916403332376,350,,9,sqrt
13,P14,0.6277746601637845,0.586864406779661,0.5668141864896429,0.5601083831010838,0.5578040097433015,0.5879045933790459,500,20.0,10,0.5
14,P15,0.6259433259530733,0.6440677966101694,0.6627670287758993,0.6365908477928617,0.6259057971014492,0.7780095298031107,350,10.0,5,sqrt
15,P16,0.6372089107649478,0.5466101694915254,0.7414434523809523,0.5466101694915254,0.4320287899235268,0.711397586900316,350,20.0,7,sqrt
16,P17,0.6405967499577391,0.684322033898305,0.6555095748133722,0.6489382370655321,0.6514257108728732,0.7175496881739232,450,20.0,10,sqrt
17,P18,0.6436972308030228,0.5889830508474576,0.5965329178028828,0.5889830508474576,0.5807863460728477,0.5866309968399885,150,15.0,10,sqrt
18,P19,0.6451344773695369,0.5699152542372882,0.5871706476237379,0.5699152542372882,0.5475233638239697,0.5708668486067221,150,20.0,5,sqrt
19,P20,0.644197411094952,0.635593220338983,0.6611609048228766,0.635593220338983,0.620543309589246,0.6602449008905487,250,10.0,2,0.5
20,P21,0.6441159591819227,0.5889830508474576,0.6148498331479422,0.5889830508474576,0.5644596651445967,0.5590706693478885,450,10.0,10,sqrt
21,P22,0.6401472658410161,0.6800847457627118,0.69935383765171,0.668990990990991,0.6627534483166537,0.7701801801801802,300,20.0,6,sqrt
22,P23,0.6416695874346632,0.6504237288135594,0.6777848911651729,0.6495825478050095,0.63566446325067,0.7050004488733279,300,20.0,7,sqrt
23,P24,0.6396255884778004,0.711864406779661,0.7205514794807708,0.698181554734478,0.6983231821941499,0.7767876548576397,150,10.0,4,log2
24,P25,0.6412076110949482,0.7330508474576272,0.7751852571996457,0.7287995545256956,0.7199736321687542,0.7721434858364319,200,20.0,10,sqrt
25,P26,0.6499224849967052,0.5699152542372882,0.5760442908196146,0.5699152542372882,0.5610710277376945,0.5706693478885378,400,15.0,8,sqrt
26,P27,0.6496321095886519,0.625,0.5835311132537269,0.6072440307567786,0.5769988303975129,0.6795534077653724,400,15.0,8,log2
27,P28,0.6469523530653348,0.5677966101694916,0.5948267202410848,0.5677966101694916,0.5346337502658186,0.5731111749497271,350,15.0,4,log2
28,P29,0.6349622552751187,0.7245762711864406,0.7578431372549019,0.7089864913674782,0.7048581048581049,0.7848732211225891,200,20.0,10,sqrt
29,P30,0.6386957580310515,0.7309322033898306,0.6407553054444369,0.6544642857142857,0.646187353547039,0.7810267857142857,450,15.0,10,log2
30,P31,0.6372894567917267,0.7182203389830508,0.7162398634229621,0.6881813285791223,0.6922971350145823,0.7917618437424554,300,20.0,9,sqrt
31,P32,0.6389416456235684,0.6610169491525424,0.6755952380952381,0.6610169491525424,0.6538320498716539,0.7631068658431486,400,20.0,8,sqrt
