fold,participant,y_true,y_pred,y_proba,best_inner_f1,hp_n_estimators,hp_max_depth,hp_learning_rate,hp_subsample,hp_colsample_bytree,hp_reg_lambda,hp_min_child_weight
0,P1,0,1,0.5598955154418945,0.6670274170274171,150,6,0.06504856968981275,0.8394633936788146,0.5780093202212182,0.2051110418843398,1
1,P10,1,0,0.10743585973978043,0.7343674843674844,250,6,0.28721204616209006,0.996951716289459,0.7002663852241023,1.4220100410115342,1
2,P11,0,0,0.045469604432582855,0.763105413105413,200,6,0.2521511680920944,0.9729161367647149,0.5076838686640521,0.11952270129143856,1
3,P12,0,1,0.8149320483207703,0.7317460317460318,200,6,0.2707845024889869,0.930573919743892,0.8100308334813918,0.8372996585901575,1
4,P13,1,0,0.14012765884399414,0.765933140933141,150,6,0.06504856968981275,0.8394633936788146,0.5780093202212182,0.2051110418843398,1
5,P14,1,1,0.858662486076355,0.7551892551892552,150,6,0.06504856968981275,0.8394633936788146,0.5780093202212182,0.2051110418843398,1
6,P15,0,0,0.0535418726503849,0.7073232323232324,250,6,0.21778032107550893,0.9944476437328523,0.7301494397165589,1.833373798541059,1
7,P16,1,0,0.15796293318271637,0.7388888888888889,200,6,0.21311465277917763,0.9879218741953287,0.510912825111776,0.10126373719544812,1
8,P17,0,0,0.1297796368598938,0.681986531986532,200,6,0.10673313560414055,0.9146813543095291,0.5950689094299983,0.10220690547060621,1
9,P18,0,0,0.40114378929138184,0.6780303030303031,200,6,0.2707845024889869,0.930573919743892,0.6144724037131504,0.6742773362265204,1
10,P19,1,1,0.9243060350418091,0.6464590964590965,200,6,0.21311465277917763,0.9879218741953287,0.510912825111776,0.10126373719544812,1
11,P2,0,0,0.2016998827457428,0.7013708513708514,200,6,0.2521511680920944,0.9729161367647149,0.5076838686640521,0.11952270129143856,1
12,P20,0,1,0.5321742296218872,0.7086247086247086,200,6,0.2521511680920944,0.9729161367647149,0.5076838686640521,0.11952270129143856,1
13,P21,0,0,0.10447362065315247,0.7086247086247086,250,6,0.21778032107550893,0.9944476437328523,0.7301494397165589,1.833373798541059,1
14,P22,1,0,0.35842815041542053,0.6324046324046325,250,6,0.28721204616209006,0.996951716289459,0.7002663852241023,1.4220100410115342,1
15,P23,1,0,0.11971866339445114,0.6843378843378843,200,6,0.26678164787053743,0.930573919743892,0.6160758455143713,0.4702064887006824,1
16,P24,0,0,0.22055239975452423,0.6747835497835499,200,6,0.10673313560414055,0.9146813543095291,0.5950689094299983,0.10220690547060621,1
17,P25,1,1,0.7382954359054565,0.6091575091575091,200,6,0.21311465277917763,0.9879218741953287,0.510912825111776,0.10126373719544812,1
18,P26,1,0,0.39857763051986694,0.5115079365079365,50,4,0.298193695107655,0.867116979833637,0.5863506123637942,0.100192168606412,2
19,P27,0,1,0.6600897312164307,0.657997557997558,400,3,0.12201764238679064,0.9529837486032803,0.5590746621314258,2.171949831037908,2
20,P28,0,0,0.07780562341213226,0.6202686202686203,150,6,0.06504856968981275,0.8394633936788146,0.5780093202212182,0.2051110418843398,1
21,P29,0,0,0.3009878098964691,0.6091575091575091,150,6,0.08593952357351796,0.9173038412164856,0.8285726521637807,0.11335431394085081,2
22,P3,1,0,0.46542593836784363,0.5972222222222222,200,6,0.2521511680920944,0.9729161367647149,0.5076838686640521,0.11952270129143856,1
23,P30,1,1,0.9741041660308838,0.6607142857142857,200,6,0.26678164787053743,0.930573919743892,0.6160758455143713,0.4702064887006824,1
24,P31,0,0,0.17225688695907593,0.6083638583638583,200,6,0.2521511680920944,0.9729161367647149,0.5076838686640521,0.11952270129143856,1
25,P32,0,0,0.21695451438426971,0.583943833943834,200,6,0.2521511680920944,0.9729161367647149,0.5076838686640521,0.11952270129143856,1
26,P4,0,0,0.2097984105348587,0.5987438487438487,200,6,0.2521511680920944,0.9729161367647149,0.5076838686640521,0.11952270129143856,1
27,P5,1,0,0.3236618936061859,0.6748321123321123,200,6,0.2521511680920944,0.9729161367647149,0.5076838686640521,0.11952270129143856,1
28,P6,0,0,0.4762459695339203,0.7236235986235986,200,6,0.2521511680920944,0.9729161367647149,0.5076838686640521,0.11952270129143856,1
29,P7,0,0,0.1511843502521515,0.7254874754874755,200,6,0.2521511680920944,0.9729161367647149,0.5076838686640521,0.11952270129143856,1
30,P8,1,1,0.8844945430755615,0.7312576312576313,200,6,0.2521511680920944,0.9729161367647149,0.5076838686640521,0.11952270129143856,1
31,P9,1,1,0.8313279151916504,0.6202686202686203,200,6,0.10673313560414055,0.9146813543095291,0.5950689094299983,0.10220690547060621,1
